Alphabet,Numbers,Dogs
Alpha,54321,Pittbull
Bravo,54322,Frenchy
Charly,54323,Jack Russel
Delta,54324,Terrier
Echo,54325,Sheepdog
Fox,54326,Boxer
Golf,54327,Pittbull
Hotel,54328,Frenchy
India,54329,Jack Russel
Japan,54330,Terrier
Kilo,54331,Sheepdog
Lima,54332,Boxer
Mike,54333,Pittbull
November,54334,Frenchy
Oscar,54335,Jack Russel
Papa,54336,Terrier
Quebec,54337,Sheepdog
Radio,54338,Boxer
Sierra,54339,Pittbull
Tango,54340,Frenchy
Uniform,54341,Jack Russel
Victor,54342,Terrier
Wiskey,54343,Sheepdog
Xray,54344,Boxer
Yankee,54345,Pittbull
Zulu,54346,Frenchy
Fail,54347,Cat
